,city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
4129,Crows Nest,151.2000066,-33.82357623,95.0,38,5,500,154,4,2.5,2.0,2.0,Apartment,Entire home/apt,64,1,0,strict_14_with_grace_period,150
1402,Paddington,151.2254976,-33.8830486,87.0,83,1,500,240,7,2.0,4.0,5.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,484
2966,Cremorne,151.2260954,-33.82865585,93.41241287,0,5,500,201,2,1.0,1.0,1.0,Apartment,Entire home/apt,1,0,0,strict_14_with_grace_period,172
2749,Rushcutters Bay,151.2264793,-33.87479023,91.0,21,14,0,120,2,1.0,0.0,1.0,Apartment,Entire home/apt,351,0,0,strict_14_with_grace_period,165
4498,Northbridge,151.2153344,-33.80829242,93.41241287,0,10,0,0,7,3.5,4.0,5.0,House,Entire home/apt,23,0,0,strict_14_with_grace_period,650
4627,Dee Why,151.282288,-33.75195063,93.41241287,0,1,300,50,1,1.0,1.0,1.0,Apartment,Private room,296,0,0,strict_14_with_grace_period,45
6494,Sydney,151.188321,-33.92341919,50.0,3,3,200,0,1,2.0,1.0,2.0,Apartment,Shared room,363,1,0,flexible,43
3392,North Bondi,151.2825284,-33.8881955,93.41241287,0,2,0,30,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,moderate,80
9333,Bondi Beach,151.2739734,-33.8909369,95.0,38,2,500,120,3,1.0,1.0,2.0,Apartment,Entire home/apt,354,1,0,strict_14_with_grace_period,163
9133,Rose Bay,151.2742318,-33.87831297,93.41241287,0,1,300,80,4,1.0,2.0,2.0,Apartment,Entire home/apt,87,1,0,flexible,0
1286,Manly,151.2879751,-33.79795671,99.0,23,3,350,165,4,1.0,1.0,2.0,Apartment,Entire home/apt,157,0,0,strict_14_with_grace_period,349
3481,Bondi,151.2624075,-33.89717377,93.41241287,0,7,500,150,4,1.5,2.0,2.0,House,Entire home/apt,0,1,0,flexible,350
2680,Sydney,151.212774,-33.84784617,93.41241287,0,5,200,150,3,2.0,2.0,2.0,Apartment,Entire home/apt,191,1,1,flexible,250
3557,Manly,151.2874794,-33.80000827,87.0,4,5,1500,341,6,1.0,3.0,4.0,House,Entire home/apt,76,1,0,strict_14_with_grace_period,342
1964,Wisemans Ferry,150.9780791,-33.40015658,100.0,7,3,0,120,5,1.5,2.0,3.0,Villa,Entire home/apt,147,0,0,moderate,299
6536,Manly,151.2865138,-33.79702987,93.41241287,0,14,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,71
7173,Balmain,151.1815355,-33.85533119,100.0,1,7,0,50,4,1.0,2.0,2.0,Townhouse,Entire home/apt,150,0,0,strict_14_with_grace_period,1500
7539,Bondi Beach,151.2704484,-33.89338513,100.0,1,7,200,65,4,1.0,2.0,1.0,Apartment,Entire home/apt,21,1,0,moderate,170
7911,Summer Hill,151.1330941,-33.89074596,100.0,2,2,0,0,3,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,moderate,76
4258,Maroubra,151.2389686,-33.94105966,93.41241287,0,2,0,10,2,1.0,1.0,2.0,House,Shared room,0,1,0,flexible,100
330,Bondi,151.2603215,-33.89321131,93.41241287,1,3,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,110
4719,North Bondi ,151.2721746,-33.88331783,93.41241287,2,5,0,60,4,1.0,2.0,3.0,Apartment,Entire home/apt,0,0,0,moderate,139
5158,Kirribilli,151.2164557,-33.84983082,87.0,9,1,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,strict_14_with_grace_period,85
1430,Canterbury,151.1187281,-33.91269332,90.0,4,1,400,40,3,1.0,1.0,2.0,Apartment,Private room,302,0,0,strict_14_with_grace_period,67
9495,Pyrmont,151.1987813,-33.86976767,97.0,37,3,0,50,2,1.0,1.0,1.0,Apartment,Private room,60,1,1,moderate,98
4603,Paddington,151.2229278,-33.8831252,97.0,21,1,0,125,6,1.5,3.0,3.0,House,Entire home/apt,231,0,1,strict_14_with_grace_period,375
3373,Paddington,151.2307947,-33.88788548,93.41241287,0,5,200,0,1,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,150
8428,Mount Druitt,150.8182166,-33.76386383,96.0,9,2,0,0,1,1.0,1.0,1.0,Apartment,Private room,0,0,0,moderate,30
7955,Maroubra,151.2362375,-33.94443213,100.0,5,2,1000,200,8,2.0,4.0,5.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,501
4588,Maroubra,151.2562004,-33.94710819,100.0,5,3,0,150,4,1.0,2.0,2.0,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,215
3875,Bronte,151.2604897,-33.90422184,93.41241287,0,3,300,0,2,1.0,1.0,1.0,Apartment,Private room,365,1,0,flexible,150
8989,Ultimo,151.1996734,-33.88413452,93.41241287,0,15,500,100,2,1.0,0.0,1.0,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,97
2184,Glenhaven,151.0106844,-33.71057995,93.0,92,1,0,35,8,1.0,3.0,5.0,Cottage,Entire home/apt,250,1,0,moderate,123
798,Bronte,151.2660936,-33.90026404,90.0,2,4,900,120,4,1.0,2.0,3.0,House,Entire home/apt,179,1,0,strict_14_with_grace_period,250
1005,Dover Heights,151.2818341,-33.87112462,100.0,3,10,0,100,10,1.5,4.0,6.0,House,Entire home/apt,129,0,0,strict_14_with_grace_period,395
1952,Dangar Island,151.2417372,-33.53794986,90.0,25,1,0,25,4,1.0,3.0,2.0,Bed and breakfast,Private room,361,0,0,flexible,130
3733,North Bondi,151.281495,-33.89037931,93.0,26,1,0,75,3,1.0,1.0,1.0,Apartment,Entire home/apt,365,1,0,strict_14_with_grace_period,225
4516,Stanmore,151.1618537,-33.8888347,99.0,17,20,132,75,4,1.0,2.0,2.0,House,Entire home/apt,0,1,1,moderate,227
6706,Great Mackerel Beach,151.2968276,-33.58963709,100.0,2,2,140,15,2,1.0,2.0,1.0,Bed and breakfast,Private room,87,1,1,strict_14_with_grace_period,111
7016,Newtown,151.1777164,-33.89594152,100.0,2,2,0,0,2,1.0,1.0,1.0,House,Private room,0,0,0,flexible,51
5297,Bondi Beach,151.2707465,-33.88812365,100.0,10,2,0,50,4,1.0,2.0,2.0,Apartment,Entire home/apt,0,0,1,strict_14_with_grace_period,78
7705,Northmead,150.9955181,-33.79273603,93.41241287,0,7,677,20,2,1.0,1.0,2.0,Apartment,Private room,0,1,0,moderate,135
657,North Bondi,151.2763677,-33.88111816,80.0,1,6,750,250,5,2.0,4.0,4.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,304
828,North Bondi,151.2835663,-33.88959735,98.0,37,1,0,19,2,1.0,1.0,1.0,Apartment,Private room,142,1,0,moderate,100
4488,Redfern,151.2057216,-33.89114521,83.0,62,9,0,60,2,2.0,1.0,1.0,House,Private room,124,1,0,strict_14_with_grace_period,69
4980,Bondi,151.2664057,-33.89324282,100.0,2,1,0,50,2,1.0,1.0,1.0,Apartment,Private room,187,1,0,flexible,80
3327,Darlinghurst,151.2193216,-33.87560157,93.41241287,0,5,0,30,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,moderate,85
5552,Marsfield,151.103855,-33.78035676,80.0,1,1,0,25,2,1.0,1.0,1.0,Townhouse,Private room,0,0,0,flexible,72
5093,Maroubra,151.2387946,-33.93448312,93.41241287,0,7,1000,480,6,2.0,3.0,3.0,House,Entire home/apt,365,1,0,strict_14_with_grace_period,689
8502,Avalon Beach,151.326702,-33.62850573,100.0,4,7,500,100,6,2.0,4.0,4.0,House,Entire home/apt,91,0,0,moderate,500
9253,Sydney,151.2034819,-33.86811905,97.0,36,1,500,100,6,2.0,2.0,6.0,Apartment,Entire home/apt,159,0,1,strict_14_with_grace_period,308
7296,Coogee,151.2563326,-33.92176387,100.0,2,3,0,10,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,50
114,Mona Vale,151.2953937,-33.67726737,90.0,2,7,1000,100,6,2.0,3.0,4.0,House,Entire home/apt,0,0,0,moderate,300
2668,Dee Why,151.2977763,-33.76004122,97.0,8,2,0,100,8,2.5,3.0,5.0,House,Entire home/apt,176,0,0,flexible,295
626,Bondi Beach,151.2731276,-33.89050442,80.0,1,3,0,80,3,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,250
652,Kingsford,151.2304526,-33.92100563,93.41241287,0,1,0,0,1,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,41
5098,Maroubra,151.2401462,-33.94115917,93.41241287,0,7,0,0,1,1.0,0.0,1.0,Other,Private room,365,0,0,flexible,76
2774,Rozelle,151.1736189,-33.86933002,93.41241287,0,3,0,90,4,1.0,2.0,2.0,House,Entire home/apt,0,0,0,moderate,401
4855,Ultimo,151.1993285,-33.87785833,93.41241287,0,14,500,201,1,1.0,1.0,1.0,Apartment,Entire home/apt,179,0,0,strict_14_with_grace_period,161
8393,Potts Point,151.2242555,-33.86537188,100.0,1,4,0,0,1,1.0,0.0,1.0,Apartment,Entire home/apt,0,0,0,moderate,76
6190,Maroubra,151.2441532,-33.94292284,96.0,5,2,0,0,2,2.0,3.0,1.0,House,Private room,18,0,0,flexible,62
341,Surry Hills,151.2124533,-33.87884822,93.41241287,0,5,0,80,2,1.0,1.0,1.0,Apartment,Entire home/apt,65,0,0,strict_14_with_grace_period,250
7785,North Narrabeen,151.2880011,-33.69791518,96.0,41,4,0,75,4,1.0,0.0,2.0,Guesthouse,Entire home/apt,264,1,1,strict_14_with_grace_period,90
785,Lane Cove,151.1749124,-33.81252055,99.0,51,1,199,69,6,2.0,2.0,4.0,Apartment,Entire home/apt,70,0,1,moderate,169
9922,Little Bay,151.2391262,-33.98063585,97.0,25,3,800,150,8,2.0,3.0,5.0,House,Entire home/apt,143,0,1,moderate,295
6628,Erskineville,151.1861354,-33.90300662,100.0,2,3,0,0,4,1.0,2.0,2.0,House,Entire home/apt,123,1,0,flexible,140
4307,Potts Point,151.2228985,-33.87067374,90.0,4,1,0,0,1,1.0,1.0,1.0,Hostel,Shared room,272,0,0,flexible,36
8928,Northbridge,151.2115613,-33.80767465,99.0,47,2,0,60,4,1.5,1.0,2.0,Guest suite,Entire home/apt,128,1,1,moderate,116
7533,Kingsford,151.2323373,-33.9229363,80.0,2,3,200,0,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,strict_14_with_grace_period,51
7172,Redfern,151.2139386,-33.89893785,93.41241287,0,7,500,70,2,1.0,1.0,1.0,Condominium,Entire home/apt,20,0,0,strict_14_with_grace_period,150
8857,Bondi Beach,151.269777,-33.89330409,100.0,2,5,0,0,2,1.0,2.0,2.0,Apartment,Entire home/apt,0,0,0,flexible,180
9255,Paddington,151.2273192,-33.88863606,93.41241287,0,14,0,0,1,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,35
7550,Burwood,151.1034274,-33.87615875,93.0,127,1,0,30,2,1.0,1.0,2.0,House,Private room,262,1,0,strict_14_with_grace_period,120
2477,Sydney Olympic Park,151.0719212,-33.84585,97.0,21,3,500,143,5,2.0,2.0,2.0,Apartment,Entire home/apt,143,0,0,strict_14_with_grace_period,179
760,Double Bay,151.2405594,-33.87543887,93.41241287,0,2,0,40,2,0.0,0.0,2.0,Apartment,Private room,0,1,0,flexible,129
9897,North Curl Curl,151.2842451,-33.76131552,93.41241287,0,5,0,100,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,0,0,flexible,100
7799,Newport,151.3199427,-33.64915873,100.0,2,3,1000,300,6,1.5,3.0,3.0,House,Entire home/apt,0,1,0,strict_14_with_grace_period,599
3484,Ashfield,151.1340513,-33.8886819,100.0,2,3,200,15,1,1.5,1.0,1.0,Bed and breakfast,Private room,132,1,0,moderate,53
1414,Balmain,151.1767842,-33.85857744,93.41241287,0,4,500,201,2,1.0,1.0,1.0,Apartment,Entire home/apt,19,0,0,strict_14_with_grace_period,159
6226,Bondi Beach,151.2689354,-33.88641166,90.0,25,3,300,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,310,1,0,strict_14_with_grace_period,111
2896,South Coogee,151.2600571,-33.93258046,93.41241287,0,7,1000,150,5,1.0,2.0,2.0,Apartment,Entire home/apt,83,1,0,strict_14_with_grace_period,200
2470,Zetland,151.2102461,-33.90415126,96.0,10,3,0,9,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,200
5927,Zetland,151.2100387,-33.90470906,100.0,5,2,200,50,4,2.0,2.0,2.0,Apartment,Entire home/apt,0,0,1,flexible,59
4449,Bondi Beach,151.2726826,-33.89061843,97.0,33,2,0,125,4,1.0,2.0,2.0,Apartment,Entire home/apt,71,1,1,moderate,285
7779,Rhodes,151.086695,-33.82706226,100.0,1,1,200,20,2,1.0,1.0,1.0,Apartment,Private room,23,0,0,flexible,76
6953,Bondi,151.2650882,-33.8938772,93.0,15,2,170,95,2,1.0,1.0,1.0,Apartment,Entire home/apt,246,1,0,flexible,196
960,Manly,151.2800327,-33.79956621,100.0,4,2,0,100,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,0,0,flexible,200
9740,Campbelltown,150.8233649,-34.06160759,100.0,2,1,150,0,2,1.0,0.0,1.0,Apartment,Private room,42,0,0,flexible,53
1931,Fairlight,151.2775283,-33.79512772,93.41241287,0,10,1000,100,4,1.0,2.0,3.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,250
1986,Bondi,151.2603323,-33.8895178,100.0,1,5,200,50,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,0,0,flexible,190
8312,North Manly,151.2749853,-33.76777163,95.0,66,2,150,0,3,1.0,0.0,1.0,Guesthouse,Entire home/apt,168,1,0,moderate,100
8761,Clovelly,151.2664996,-33.91257603,93.41241287,0,6,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,120
1053,Strathfield,151.0943017,-33.8723939,88.0,16,2,500,110,4,2.0,2.0,2.0,Apartment,Entire home/apt,87,0,0,strict_14_with_grace_period,109
2960,Rooty Hill,150.8452849,-33.77438773,73.0,4,2,0,0,2,1.0,1.0,1.0,House,Private room,180,0,0,flexible,70
7134,Bilgola Plateau,151.3135391,-33.6487175,93.41241287,0,14,4000,150,5,3.0,4.0,4.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,280
5664,Bondi Beach,151.2643269,-33.88851902,100.0,1,5,500,50,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,300
6877,Vaucluse,151.2835304,-33.85853558,100.0,2,4,3000,200,8,3.0,4.0,4.0,House,Entire home/apt,90,0,0,strict_14_with_grace_period,700
4845,North Rocks,151.0245629,-33.77931876,100.0,2,1,0,20,2,1.0,1.0,1.0,House,Private room,187,0,0,moderate,50
6161,Arncliffe,151.1508399,-33.93678714,93.41241287,0,3,0,0,4,1.0,2.0,3.0,House,Private room,0,1,0,flexible,170
5682,Bondi Beach,151.277112,-33.88642494,93.41241287,1,5,0,120,4,1.0,1.0,1.0,Apartment,Entire home/apt,1,0,0,strict_14_with_grace_period,120
3603,Bondi Beach,151.273165,-33.89383092,93.41241287,0,1,0,0,1,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,80
8491,Balmain East,151.1893743,-33.8591888,95.0,11,4,500,370,6,1.0,3.0,4.0,House,Entire home/apt,0,0,0,moderate,319
7277,Elizabeth Bay,151.2246311,-33.87264242,93.41241287,0,5,0,0,2,1.0,0.0,1.0,Apartment,Entire home/apt,0,1,0,flexible,195
8389,Bondi Beach,151.2781454,-33.88958536,93.41241287,0,4,450,30,1,1.0,1.0,1.0,Apartment,Private room,0,1,0,moderate,350
3299,Northbridge,151.2168946,-33.80805493,96.0,33,1,0,25,2,1.0,1.0,1.0,Guesthouse,Entire home/apt,68,0,0,moderate,94
5888,Coogee,151.2547847,-33.91803404,100.0,26,3,500,180,6,1.0,3.0,4.0,Apartment,Entire home/apt,244,0,1,strict_14_with_grace_period,240
9878,zetland,151.205998,-33.90953837,93.0,11,3,0,15,3,1.0,1.0,1.0,Loft,Entire home/apt,0,1,0,moderate,139
1393,Stanmore,151.1673094,-33.89522589,93.0,3,3,0,70,4,1.0,2.0,2.0,House,Entire home/apt,0,1,0,flexible,185
7684,Bondi Beach,151.2708472,-33.89216246,100.0,1,2,200,40,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,strict_14_with_grace_period,80
801,Bondi Beach,151.2679935,-33.88830336,92.0,5,3,0,20,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,strict_14_with_grace_period,100
543,Allambie Heights,151.2493285,-33.76542661,93.41241287,1,1,0,30,1,1.0,1.0,2.0,Guest suite,Private room,363,0,0,flexible,55
2906,Manly,151.2792363,-33.79834021,97.0,61,2,300,150,7,2.0,3.0,3.0,Apartment,Entire home/apt,232,0,0,strict_14_with_grace_period,440
3600,Manly,151.2877396,-33.80082939,97.0,22,4,300,140,2,1.0,1.0,1.0,Apartment,Entire home/apt,60,1,0,strict_14_with_grace_period,179
9697,Epping,151.0667801,-33.77396734,100.0,5,2,0,30,2,1.0,1.0,1.0,Villa,Private room,365,1,0,strict_14_with_grace_period,59
4677,Bondi Beach,151.2709469,-33.88744639,87.0,3,2,0,45,2,1.0,0.0,1.0,Other,Entire home/apt,0,1,0,moderate,119
3566,Surry Hills,151.2115448,-33.87848834,92.0,15,28,350,65,2,1.0,1.0,1.0,Apartment,Entire home/apt,275,1,1,strict_14_with_grace_period,130
7760,North Epping,151.1040592,-33.76166373,100.0,1,5,0,75,6,2.0,4.0,4.0,House,Private room,0,1,0,flexible,26
6302,Mascot,151.1885978,-33.92091313,89.0,17,2,0,0,1,1.0,1.0,1.0,Apartment,Private room,8,0,0,moderate,39
3437,Waitara,151.1076709,-33.71082279,100.0,19,4,0,79,6,2.0,2.0,3.0,Loft,Entire home/apt,28,0,1,strict_14_with_grace_period,98
3362,Chippendale,151.202305,-33.88592745,96.0,11,2,0,20,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,strict_14_with_grace_period,80
2098,Zetland,151.2115233,-33.9102328,84.0,5,3,350,7,2,1.0,1.0,1.0,Condominium,Entire home/apt,187,1,0,moderate,85
8763,Freshwater,151.2812362,-33.76932101,93.41241287,0,6,0,0,7,2.5,3.0,5.0,House,Entire home/apt,0,0,0,flexible,390
6172,Clovelly,151.2548016,-33.90690991,96.0,9,5,1250,45,2,1.0,1.0,1.0,Apartment,Entire home/apt,365,1,0,moderate,175
4351,Waterloo,151.2128386,-33.8966194,93.0,63,1,0,70,3,1.0,1.0,2.0,Apartment,Entire home/apt,169,0,0,flexible,155
5377,Vaucluse,151.2806924,-33.86306888,93.41241287,0,7,1000,250,4,3.5,3.0,3.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,800
4170,Sans Souci,151.1325702,-33.98605844,78.0,10,2,500,98,10,2.0,5.0,7.0,House,Private room,0,1,0,strict_14_with_grace_period,580
7746,Dee Why,151.295842,-33.76619351,93.41241287,0,3,0,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,83,0,0,flexible,220
3509,Lilli Pilli,151.1125994,-34.07241193,97.0,6,2,375,150,4,3.0,2.0,2.0,House,Entire home/apt,342,0,0,flexible,299
3476,Surry Hills,151.2115391,-33.88226127,97.0,7,2,150,15,2,1.0,1.0,1.0,Townhouse,Private room,0,0,0,moderate,85
9721,Allambie Heights,151.2601175,-33.77779251,100.0,21,2,500,75,2,1.0,1.0,2.0,Guesthouse,Entire home/apt,186,1,1,moderate,85
9483,Pyrmont,151.1952989,-33.87473812,93.41241287,0,3,0,0,2,1.0,1.0,1.0,Condominium,Entire home/apt,0,0,0,flexible,150
4812,Surry Hills,151.2142421,-33.8883054,93.41241287,0,21,750,90,2,1.0,1.0,1.0,Apartment,Entire home/apt,131,1,0,strict_14_with_grace_period,170
7123,Alexandria,151.1910754,-33.90445544,100.0,4,3,0,10,2,1.0,1.0,1.0,House,Private room,0,0,0,flexible,80
707,Woolloomooloo,151.2192911,-33.87439722,90.0,2,3,800,50,3,1.0,1.0,2.0,Loft,Entire home/apt,174,1,0,moderate,130
4665,Drummoyne,151.1495998,-33.85687415,100.0,3,4,0,80,6,1.5,3.0,4.0,House,Entire home/apt,0,0,0,flexible,144
6299,Surry Hills,151.214541,-33.87964503,100.0,1,4,500,60,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,165
9759,Avalon Beach,151.3311839,-33.62001809,100.0,3,5,0,120,8,2.0,4.0,5.0,House,Entire home/apt,340,0,0,strict_14_with_grace_period,333
5705,Rozelle,151.1704646,-33.86775691,100.0,1,1,0,0,2,1.5,1.0,1.0,House,Private room,365,1,0,flexible,161
2190,Lane Cove,151.1753955,-33.82049992,93.41241287,0,7,1349,540,10,4.5,5.0,5.0,House,Entire home/apt,0,0,0,flexible,2023
5513,Sydney,151.1658863,-33.86425727,98.0,67,2,0,50,3,2.5,2.0,3.0,House,Entire home/apt,251,0,1,flexible,140
9292,Balgowlah,151.2577277,-33.79116359,90.0,2,1,0,0,1,2.0,1.0,1.0,House,Private room,45,0,0,flexible,39
4941,Coogee,151.2548361,-33.91417076,80.0,1,3,0,100,6,2.0,3.0,4.0,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,221
77,Strathfield,151.0915036,-33.86595346,90.0,3,2,300,20,3,1.0,1.0,2.0,Apartment,Private room,0,0,0,moderate,70
1846,Woollahra,151.242739,-33.88831369,98.0,43,2,200,0,2,1.5,1.0,1.0,Apartment,Private room,0,0,0,strict_14_with_grace_period,94
4282,Cromer,151.2662022,-33.73263766,100.0,3,7,500,150,5,1.0,3.0,3.0,House,Entire home/apt,0,0,0,flexible,150
4548,Clovelly,151.2602734,-33.91063566,94.0,54,1,0,0,2,1.0,1.0,1.0,House,Private room,334,1,0,flexible,85
8684,Sydney Olympic Park,151.0719185,-33.84663711,98.0,51,1,0,69,6,2.0,2.0,2.0,Apartment,Entire home/apt,296,1,1,strict_14_with_grace_period,200
7299,Queenscliff,151.2896137,-33.78635394,100.0,4,2,0,10,2,1.0,1.0,1.0,Apartment,Private room,88,0,0,flexible,65
9380,Collaroy,151.2982909,-33.73677853,96.0,66,2,175,40,4,1.0,1.0,2.0,Guest suite,Entire home/apt,156,0,1,moderate,111
3966,Campsie,151.0992085,-33.9170588,80.0,1,1,200,20,2,1.0,1.0,1.0,Apartment,Private room,15,1,0,strict_14_with_grace_period,40
8273,Bundeena,151.1571661,-34.08348676,100.0,1,3,500,50,6,2.0,3.0,4.0,Cottage,Entire home/apt,87,0,0,moderate,349
9645,Surry Hills,151.2170036,-33.8828532,93.41241287,0,5,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,60
6,Kingsford,151.2338701,-33.92319118,93.41241287,1,1,150,0,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,strict_14_with_grace_period,43
5406,Newtown,151.1885537,-33.8928927,100.0,3,5,0,0,2,1.0,1.0,1.0,House,Private room,8,0,0,flexible,59
2528,Homebush,151.0857276,-33.86329138,93.0,18,1,198,41,4,1.0,1.0,2.0,Apartment,Entire home/apt,0,0,0,flexible,128
2074,Waverley,151.2540873,-33.90496367,97.0,60,2,150,120,4,1.5,2.0,2.0,Apartment,Entire home/apt,49,1,1,moderate,140
8104,Little Bay,151.2444598,-33.98247729,96.0,11,2,0,0,2,1.0,1.0,1.0,Apartment,Private room,80,0,0,flexible,59
3764,Woollahra,151.249194,-33.88950992,80.0,3,7,0,0,2,1.0,1.0,1.0,House,Private room,89,0,0,strict_14_with_grace_period,69
7813,Lalor Park,150.9212963,-33.76260604,95.0,23,3,0,54,4,1.0,0.0,2.0,Other,Entire home/apt,155,0,1,flexible,47
183,Darlinghurst,151.2253443,-33.87808159,91.0,14,2,0,0,4,1.0,2.0,2.0,House,Entire home/apt,244,0,0,strict_14_with_grace_period,179
864,Coogee,151.2589731,-33.918698,100.0,1,2,200,20,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,strict_14_with_grace_period,89
3561,Dee Why,151.2861426,-33.77382518,100.0,5,2,0,0,2,1.0,0.0,1.0,Cabin,Entire home/apt,14,0,0,flexible,97
784,Newtown,151.1775931,-33.90386407,93.0,32,1,0,0,2,1.0,1.0,1.0,Apartment,Private room,313,1,0,moderate,85
1535,Bondi Junction,151.2557973,-33.8907689,93.0,9,3,500,80,4,1.0,2.0,2.0,House,Entire home/apt,0,1,0,strict_14_with_grace_period,240
3629,Merrylands,150.9937346,-33.8363293,85.0,28,2,0,210,6,2.0,2.0,3.0,Apartment,Entire home/apt,62,0,0,strict_14_with_grace_period,100
8513,Bondi Junction,151.2495466,-33.89253381,100.0,2,7,200,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,32,1,0,strict_14_with_grace_period,139
2571,Middle Cove,151.2048514,-33.78927893,93.41241287,0,4,500,160,6,2.5,3.0,5.0,House,Entire home/apt,83,0,0,flexible,275
1704,Narraweena,151.2742999,-33.75787818,100.0,3,5,500,150,7,1.0,3.0,4.0,House,Entire home/apt,362,1,0,strict_14_with_grace_period,325
8003,Strathfield,151.0764816,-33.87577525,93.0,3,21,0,0,1,1.0,1.0,1.0,House,Private room,364,0,1,moderate,35
